Source,Relation,Target
Bivalirudin,inhibitor,F2
Pyridoxal phosphate,cofactor,ODC1
Pyridoxal phosphate,cofactor,TAT
Pyridoxal phosphate,cofactor,SDS
Pyridoxal phosphate,cofactor,SPTLC1
Phenylalanine,binder,TH
Biotin,cofactor,PC
Ascorbic acid,cofactor,PAM
Aspartic acid,substrate,PAICS
Adenosine phosphate,activator,CREB1
Tyrosine,binder,TH
Creatine,ligand,CKB
Vitamin A,ligand,APOD
Vitamin A,ligand,PTGDS
Menadione,activator,F2
Menadione,activator,F9
Ramipril,inhibitor,ACE
Baclofen,allosteric modulator,CXCR4
Caffeine,inhibitor,PRKDC
Caffeine,inhibitor,ATM
Sildenafil,downregulator,ODC1
Adapalene,antagonist,JUN
Adapalene,antagonist,TLR2
Moxifloxacin,inhibitor,TOP2A
Amsacrine,inhibitor,TOP2A
Argatroban,inhibitor,F2
Liothyronine,antagonist,PCNA
Lidocaine,antagonist,EGFR
Pamidronic acid,activator,CASP3
Acarbose,inhibitor,SI
Acarbose,inhibitor,GAA
Raltitrexed,inhibitor,TYMS
Valproic acid,inhibitor,HDAC1
Valproic acid,regulator,CDKN1A
Valproic acid,inhibitor,HGF
Valproic acid,downregulator,ODC1
Gefitinib,antagonist,EGFR
Amitriptyline,agonist,NTRK1
Amitriptyline,activator,NTRK1
Indomethacin,inducer,EIF2AK2
Pimecrolimus,potentiator,MTOR
Pyrazinamide,inhibitor,FAS
Sapropterin,cofactor,TH
Vinorelbine,antagonist,TUBB
Vinorelbine,inhibitor,TUBB
Sucralfate,agonist,FGF2
Sucralfate,inducer,FGF2
Sucralfate,inducer,EGF
Dexrazoxane,inhibitor,TOP2A
Valrubicin,inhibitor,TOP2A
Digoxin,inhibitor,ATP1A1
Sorafenib,inhibitor,FLT4
Sorafenib,inhibitor,FLT1
Sorafenib,inhibitor,FLT3
Sorafenib,antagonist,KIT
Ardeparin,potentiator,SERPINC1
Ardeparin,agonist,SERPIND1
Miglustat,inhibitor,UGCG
Trifluridine,inhibitor,TYMS
Gemcitabine,inhibitor,TYMS
Teniposide,inhibitor,TOP2A
Epirubicin,inhibitor,TOP2A
Framycetin,antagonist,CXCR4
Enoxacin,inhibitor,TOP2A
Celecoxib,inhibitor,PDPK1
Pefloxacin,inhibitor,TOP2A
Miglitol,antagonist,GAA
Miglitol,antagonist,GANAB
Fosinopril,inhibitor,ACE
Acetyldigitoxin,inhibitor,ATP1A1
Dextromethorphan,binder,PGRMC1
Albendazole,inhibitor,TUBA1A
Trandolapril,inhibitor,ACE
Erlotinib,antagonist,EGFR
Ciprofloxacin,inhibitor,TOP2A
Nortriptyline,binder,PGRMC1
Vincristine,inhibitor,TUBB
Benazepril,inhibitor,ACE
Fluorouracil,other/unknown,TYMS
Azelaic acid,inhibitor,TYR
Pentostatin,inhibitor,ADA
Methotrexate,inhibitor,TYMS
Fondaparinux,potentiator,SERPINC1
Vinblastine,binder,TUBA1A
Vinblastine,binder,TUBB
Vinblastine,other/unknown,JUN
Enalapril,inhibitor,ACE
Fluocinolone acetonide,inducer,ANXA5
Monobenzone,inhibitor,TYR
Medroxyprogesterone acetate,inhibitor,ABCB1
Chloroquine,inhibitor,TNF
Chloroquine,inhibitor,TLR9
Chloroquine,inhibitor,HMGB1
Chloroquine,modulator,ACE2
Rifabutin,other/unknown,HSP90B1
Imatinib,inhibitor,BCR
Imatinib,antagonist,KIT
Imatinib,antagonist,NTRK1
Imatinib,inhibitor,ABL1
Pemetrexed,inhibitor,TYMS
Pemetrexed,inhibitor,GART
Mebendazole,inhibitor,TUBA1A
Verapamil,inhibitor,ABCB1
Verapamil,blocker,ABCB1
Epinephrine,antagonist,TNF
Epinephrine,agonist,TNF
Trovafloxacin,inhibitor,TOP2A
Pentosan polysulfate,antagonist,FGF2
Moexipril,inhibitor,ACE
Daunorubicin,inhibitor,TOP2A
Clodronic acid,inhibitor,SLC25A5
Lisinopril,inhibitor,ACE
Imiquimod,agonist,TLR7
Imiquimod,agonist,TLR8
Scopolamine,inhibitor,SI
Irinotecan,inhibitor,TOP1
Metyrosine,binder,TH
Olopatadine,other/unknown,S100B
Etoposide,inhibitor,TOP2A
Hydroflumethiazide,inducer,ATP1A1
Estradiol,binder,BECN1
Perindopril,inhibitor,ACE
Pseudoephedrine,inhibitor,TNF
Pseudoephedrine,inhibitor,IL2
Sirolimus,inhibitor,MTOR
Quinapril,inhibitor,ACE
Etacrynic acid,inhibitor,ATP1A1
Cyclobenzaprine,inhibitor,TLR4
Acetylsalicylic acid,inducer,TP53
Acetylsalicylic acid,inhibitor,HSPA5
Acetylsalicylic acid,binder,HSPA5
Acetylsalicylic acid,inhibitor,CASP3
Acetylsalicylic acid,downregulator,CASP3
Acetylsalicylic acid,downregulator,MYC
Acetylsalicylic acid,downregulator,PCNA
Dactinomycin,inhibitor,TOP2A
Dactinomycin,inhibitor,TOP1
Ezetimibe,inhibitor,NPC1L1
Dipyridamole,inhibitor,ADA
Lomefloxacin,inhibitor,TOP2A
Azathioprine,modulator,RAC1
Doxorubicin,inhibitor,TOP2A
Doxorubicin,inhibitor,TOP1
Cromoglicic acid,antagonist,S100P
Minocycline,negative modulator,CASP3
Trichlormethiazide,inhibitor,ATP1A1
Irbesartan,other/unknown,JUN
Topotecan,inhibitor,TOP1
Mercaptopurine,inhibitor,HPRT1
Norfloxacin,inhibitor,TOP2A
Isoprenaline,stabilization,SOD1
Atorvastatin,inhibitor,DPP4
Etidronic acid,inhibitor,SLC25A5
Deslanoside,inhibitor,ATP1A1
Ouabain,inhibitor,ATP1A1
Dimethyl sulfoxide,downregulator,MYC
Leflunomide,inhibitor,DHODH
Capecitabine,inhibitor,TYMS
Sertraline,inhibitor,PGRMC1
Sertraline,binder,PGRMC1
Heparin,potentiator,SERPINC1
Atovaquone,inhibitor,DHODH
Proflavine,other/unknown,F2
Carvedilol,modulator,HIF1A
Bretylium,inhibitor,ATP1A1
Ofloxacin,inhibitor,TOP2A
Arsenic trioxide,inducer,JUN
Arsenic trioxide,inducer,AKT1
Idarubicin,inhibitor,TOP2A
Chlormezanone,agonist,TSPO
Podofilox,inhibitor,TUBB
Podofilox,inhibitor,TOP2A
