DrugBankID,DrugName,Type,Groups,GeneSymbol,Action
DB00001,Lepirudin,biotech,approved|withdrawn,F2,inhibitor
DB00002,Cetuximab,biotech,approved,EGFR,binder
DB00002,Cetuximab,biotech,approved,FCGR3B,binder
DB00002,Cetuximab,biotech,approved,C1QA,binder
DB00002,Cetuximab,biotech,approved,C1QB,binder
DB00002,Cetuximab,biotech,approved,C1QC,binder
DB00002,Cetuximab,biotech,approved,FCGR3A,binder
DB00002,Cetuximab,biotech,approved,FCGR1A,binder
DB00002,Cetuximab,biotech,approved,FCGR2A,binder
DB00004,Denileukin diftitox,biotech,approved|investigational,IL2RA,binder
DB00004,Denileukin diftitox,biotech,approved|investigational,IL2RB,agonist
DB00004,Denileukin diftitox,biotech,approved|investigational,IL2RG,
DB00005,Etanercept,biotech,approved|investigational,TNF,inhibitor
DB00005,Etanercept,biotech,approved|investigational,TNF,antibody
DB00005,Etanercept,biotech,approved|investigational,LTA,antibody
DB00005,Etanercept,biotech,approved|investigational,FCGR1A,ligand
DB00005,Etanercept,biotech,approved|investigational,FCGR2A,ligand
DB00005,Etanercept,biotech,approved|investigational,FCGR2B,ligand
DB00005,Etanercept,biotech,approved|investigational,FCGR2C,ligand
DB00005,Etanercept,biotech,approved|investigational,FCGR3A,ligand
DB00005,Etanercept,biotech,approved|investigational,FCGR3B,ligand
DB00005,Etanercept,biotech,approved|investigational,C1QA,ligand
DB00006,Bivalirudin,small molecule,approved|investigational,F2,inhibitor
DB00007,Leuprolide,small molecule,approved|investigational,GNRHR,agonist
DB00008,Peginterferon alfa-2a,biotech,approved|investigational,IFNAR2,agonist
DB00008,Peginterferon alfa-2a,biotech,approved|investigational,IFNAR1,agonist
DB00009,Alteplase,biotech,approved|investigational,PLG,activator
DB00009,Alteplase,biotech,approved|investigational,FGA,binder
DB00009,Alteplase,biotech,approved|investigational,FGG,binder
DB00009,Alteplase,biotech,approved|investigational,SERPINE1,
DB00010,Sermorelin,biotech,approved|withdrawn,GHRHR,agonist
DB00011,Interferon alfa-n1,biotech,approved|investigational,IFNAR1,agonist
DB00011,Interferon alfa-n1,biotech,approved|investigational,IFNAR2,agonist
DB00012,Darbepoetin alfa,biotech,approved|investigational,EPOR,agonist
DB00013,Urokinase,biotech,approved|investigational|withdrawn,PLG,activator
DB00013,Urokinase,biotech,approved|investigational|withdrawn,PLAUR,inducer
DB00013,Urokinase,biotech,approved|investigational|withdrawn,PLAUR,modulator
DB00013,Urokinase,biotech,approved|investigational|withdrawn,SERPINE1,substrate
DB00013,Urokinase,biotech,approved|investigational|withdrawn,SERPINE1,inducer
DB00013,Urokinase,biotech,approved|investigational|withdrawn,SERPINB2,substrate
DB00013,Urokinase,biotech,approved|investigational|withdrawn,SERPINB2,inducer
DB00013,Urokinase,biotech,approved|investigational|withdrawn,SERPINA5,substrate
DB00013,Urokinase,biotech,approved|investigational|withdrawn,LRP2,substrate
DB00013,Urokinase,biotech,approved|investigational|withdrawn,ST14,substrate
DB00013,Urokinase,biotech,approved|investigational|withdrawn,NID1,ligand
DB00014,Goserelin,small molecule,approved,LHCGR,agonist
DB00014,Goserelin,small molecule,approved,GNRHR,agonist
DB00015,Reteplase,biotech,approved|investigational,PLG,activator
DB00015,Reteplase,biotech,approved|investigational,FGA,
DB00015,Reteplase,biotech,approved|investigational,SERPINE1,
DB00016,Erythropoietin,biotech,approved,EPOR,agonist
DB00017,Salmon calcitonin,biotech,approved|investigational,CALCR,agonist
DB00018,Interferon alfa-n3,biotech,approved|investigational,IFNAR1,agonist
DB00018,Interferon alfa-n3,biotech,approved|investigational,IFNAR2,agonist
DB00019,Pegfilgrastim,biotech,approved,CSF3R,agonist
DB00020,Sargramostim,biotech,approved|investigational,CSF2RA,agonist
DB00020,Sargramostim,biotech,approved|investigational,IL3RA,agonist
DB00020,Sargramostim,biotech,approved|investigational,CSF2RB,agonist
DB00020,Sargramostim,biotech,approved|investigational,SDC2,agonist
DB00020,Sargramostim,biotech,approved|investigational,PRG2,
DB00022,Peginterferon alfa-2b,biotech,approved,IFNAR1,agonist
DB00022,Peginterferon alfa-2b,biotech,approved,IFNAR2,agonist
DB00024,Thyrotropin alfa,biotech,approved|vet_approved,TSHR,agonist
DB00025,"Antihemophilic factor, human recombinant",biotech,approved|investigational,F10,activator
DB00025,"Antihemophilic factor, human recombinant",biotech,approved|investigational,F9,cofactor
DB00025,"Antihemophilic factor, human recombinant",biotech,approved|investigational,VWF,binder
DB00025,"Antihemophilic factor, human recombinant",biotech,approved|investigational,PHYH,antagonist
DB00025,"Antihemophilic factor, human recombinant",biotech,approved|investigational,ASGR2,binder
DB00025,"Antihemophilic factor, human recombinant",biotech,approved|investigational,HSPA5,chaperone
DB00025,"Antihemophilic factor, human recombinant",biotech,approved|investigational,CALR,chaperone
DB00025,"Antihemophilic factor, human recombinant",biotech,approved|investigational,CANX,chaperone
DB00025,"Antihemophilic factor, human recombinant",biotech,approved|investigational,LMAN1,chaperone
DB00025,"Antihemophilic factor, human recombinant",biotech,approved|investigational,LRP1,modulator
DB00025,"Antihemophilic factor, human recombinant",biotech,approved|investigational,MCFD2,modulator
DB00026,Anakinra,biotech,approved|investigational,IL1R1,antagonist
DB00028,Human immunoglobulin G,biotech,approved|investigational,FCGR1A,antagonist
DB00028,Human immunoglobulin G,biotech,approved|investigational,FCGR1B,antagonist
DB00028,Human immunoglobulin G,biotech,approved|investigational,FCGR2A,antagonist
DB00028,Human immunoglobulin G,biotech,approved|investigational,FCGR2B,antagonist
DB00028,Human immunoglobulin G,biotech,approved|investigational,FCGR2C,antagonist
DB00028,Human immunoglobulin G,biotech,approved|investigational,FCGR3A,antagonist
DB00028,Human immunoglobulin G,biotech,approved|investigational,FCGR3B,antagonist
DB00028,Human immunoglobulin G,biotech,approved|investigational,C3,binder
DB00028,Human immunoglobulin G,biotech,approved|investigational,C4A,binder
DB00028,Human immunoglobulin G,biotech,approved|investigational,C4B,binder
DB00028,Human immunoglobulin G,biotech,approved|investigational,C5,binder
DB00029,Anistreplase,biotech,approved,PLG,activator
DB00029,Anistreplase,biotech,approved,FGA,
DB00029,Anistreplase,biotech,approved,SERPINE1,
DB00030,Insulin human,biotech,approved|investigational,INSR,agonist
DB00030,Insulin human,biotech,approved|investigational,IGF1R,activator
DB00030,Insulin human,biotech,approved|investigational,CPE,modulator
