DrugBankID,DrugName,Type,Groups,GeneSymbol,Action
DB00006,Bivalirudin,small molecule,approved|investigational,F2,inhibitor
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,ODC1,cofactor
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,TAT,cofactor
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,SDS,cofactor
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,SPTLC1,cofactor
DB00119,Pyruvic acid,small molecule,approved|investigational|nutraceutical,PDHB,
DB00119,Pyruvic acid,small molecule,approved|investigational|nutraceutical,PC,
DB00120,Phenylalanine,small molecule,approved|investigational|nutraceutical,TAT,
DB00120,Phenylalanine,small molecule,approved|investigational|nutraceutical,TH,binder
DB00121,Biotin,small molecule,approved|investigational|nutraceutical,PC,cofactor
DB00126,Ascorbic acid,small molecule,approved|nutraceutical,PAM,cofactor
DB00128,Aspartic acid,small molecule,approved|nutraceutical,ASS1,
DB00128,Aspartic acid,small molecule,approved|nutraceutical,PAICS,substrate
DB00128,Aspartic acid,small molecule,approved|nutraceutical,LYZ,
DB00129,Ornithine,small molecule,approved|nutraceutical,ARG1,
DB00131,Adenosine phosphate,small molecule,approved|investigational|nutraceutical|withdrawn,CREB1,activator
DB00135,Tyrosine,small molecule,approved|investigational|nutraceutical,TH,binder
DB00135,Tyrosine,small molecule,approved|investigational|nutraceutical,TAT,
DB00142,Glutamic acid,small molecule,approved|nutraceutical,TAT,
DB00148,Creatine,small molecule,approved|investigational|nutraceutical,CKB,ligand
DB00157,NADH,small molecule,approved|nutraceutical,UGDH,
DB00157,NADH,small molecule,approved|nutraceutical,PHGDH,
DB00157,NADH,small molecule,approved|nutraceutical,GAPDH,
DB00157,NADH,small molecule,approved|nutraceutical,PDHB,
DB00157,NADH,small molecule,approved|nutraceutical,DLAT,
DB00157,NADH,small molecule,approved|nutraceutical,TYR,
DB00162,Vitamin A,small molecule,approved|nutraceutical|vet_approved,APOD,ligand
DB00162,Vitamin A,small molecule,approved|nutraceutical|vet_approved,PTGDS,ligand
DB00170,Menadione,small molecule,approved|nutraceutical,F2,activator
DB00170,Menadione,small molecule,approved|nutraceutical,F9,activator
DB00173,Adenine,small molecule,approved|nutraceutical,SRPK2,
DB00174,Asparagine,small molecule,approved|investigational|nutraceutical,SLC1A5,
DB00178,Ramipril,small molecule,approved,ACE,inhibitor
DB00181,Baclofen,small molecule,approved,CXCR4,allosteric modulator
DB00201,Caffeine,small molecule,approved,PRKDC,inhibitor
DB00201,Caffeine,small molecule,approved,ATM,inhibitor
DB00203,Sildenafil,small molecule,approved|investigational,ODC1,downregulator
DB00205,Pyrimethamine,small molecule,approved|investigational|vet_approved,HEXB,
DB00206,Reserpine,small molecule,approved|investigational|withdrawn,BIRC5,
DB00210,Adapalene,small molecule,approved,JUN,antagonist
DB00210,Adapalene,small molecule,approved,TLR2,antagonist
DB00218,Moxifloxacin,small molecule,approved|investigational,TOP2A,inhibitor
DB00276,Amsacrine,small molecule,approved|investigational,TOP2A,inhibitor
DB00276,Amsacrine,small molecule,approved|investigational,ALB,
DB00277,Theophylline,small molecule,approved,PARP1,
DB00278,Argatroban,small molecule,approved|investigational,F2,inhibitor
DB00279,Liothyronine,small molecule,approved|vet_approved,PCNA,antagonist
DB00281,Lidocaine,small molecule,approved|vet_approved,EGFR,antagonist
DB00282,Pamidronic acid,small molecule,approved,CASP3,activator
DB00284,Acarbose,small molecule,approved|investigational,SI,inhibitor
DB00284,Acarbose,small molecule,approved|investigational,GAA,inhibitor
DB00293,Raltitrexed,small molecule,approved|investigational,TYMS,inhibitor
DB00313,Valproic acid,small molecule,approved|investigational,HDAC1,inhibitor
DB00313,Valproic acid,small molecule,approved|investigational,CDKN1A,regulator
DB00313,Valproic acid,small molecule,approved|investigational,HGF,inhibitor
DB00313,Valproic acid,small molecule,approved|investigational,ODC1,downregulator
DB00317,Gefitinib,small molecule,approved|investigational,EGFR,antagonist
DB00321,Amitriptyline,small molecule,approved,NTRK1,agonist
DB00321,Amitriptyline,small molecule,approved,NTRK1,activator
DB00322,Floxuridine,small molecule,approved,TYMS,
DB00328,Indomethacin,small molecule,approved|investigational,EIF2AK2,inducer
DB00337,Pimecrolimus,small molecule,approved|investigational,MTOR,potentiator
DB00339,Pyrazinamide,small molecule,approved|investigational,FAS,inhibitor
DB00360,Sapropterin,small molecule,approved|investigational,TH,cofactor
DB00361,Vinorelbine,small molecule,approved|investigational,TUBB,antagonist
DB00361,Vinorelbine,small molecule,approved|investigational,TUBB,inhibitor
DB00364,Sucralfate,small molecule,approved,FGF2,agonist
DB00364,Sucralfate,small molecule,approved,FGF2,inducer
