DrugBankID,DrugName,Type,Groups,GeneSymbol,Action
DB00006,Bivalirudin,small molecule,approved|investigational,F2,inhibitor
DB00007,Leuprolide,small molecule,approved|investigational,GNRHR,agonist
DB00014,Goserelin,small molecule,approved,LHCGR,agonist
DB00014,Goserelin,small molecule,approved,GNRHR,agonist
DB00035,Desmopressin,small molecule,approved,AVPR2,agonist
DB00035,Desmopressin,small molecule,approved,AVPR1A,
DB00035,Desmopressin,small molecule,approved,AVPR1B,
DB00050,Cetrorelix,small molecule,approved|investigational,GNRHR,antagonist
DB00050,Cetrorelix,small molecule,approved|investigational,LHCGR,
DB00067,Vasopressin,small molecule,approved,AVPR2,agonist
DB00067,Vasopressin,small molecule,approved,AVPR2,regulator
DB00067,Vasopressin,small molecule,approved,AVPR1A,agonist
DB00067,Vasopressin,small molecule,approved,AVPR1A,regulator
DB00067,Vasopressin,small molecule,approved,AVPR1B,agonist
DB00067,Vasopressin,small molecule,approved,OXTR,agonist
DB00091,Cyclosporine,small molecule,approved|investigational|vet_approved,CAMLG,binder
DB00091,Cyclosporine,small molecule,approved|investigational|vet_approved,PPP3R2,inhibitor
DB00091,Cyclosporine,small molecule,approved|investigational|vet_approved,PPIA,inhibitor
DB00091,Cyclosporine,small molecule,approved|investigational|vet_approved,PPIA,binder
DB00091,Cyclosporine,small molecule,approved|investigational|vet_approved,PPIF,binder
DB00106,Abarelix,small molecule,approved|investigational|withdrawn,GNRHR,antagonist
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,AGXT2,cofactor
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,GAD1,cofactor
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,CBS,cofactor
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,KYNU,cofactor
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,SHMT1,cofactor
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,NFS1,cofactor
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,GOT1,activator
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,OAT,cofactor
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,ODC1,cofactor
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,AADAT,cofactor
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,ABAT,inhibitor
DB00114,Pyridoxal phosphate,small molecule,approved|investigational|nutraceutical,PNPO,cofactor
