DrugBankID,Name,Type,Groups,Targets,Pathways,Synonyms
,Lepirudin,,,,,
,Phylloquinone,,,,,
,Calcium,,,,,
DB00001,Lepirudin,biotech,approved|withdrawn,Prothrombin,Lepirudin Action Pathway,"[Leu1, Thr2]-63-desulfohirudin|Desulfatohirudin|Hirudin variant-1|Lepirudin|Lepirudin recombinant|R-hirudin"
,Cetuximab,,,,,
DB00002,Cetuximab,biotech,approved,Complement C1q subcomponent subunit A|Complement C1q subcomponent subunit B|Complement C1q subcomponent subunit C|Epidermal growth factor receptor|High affinity immunoglobulin gamma Fc receptor I|Low affinity immunoglobulin gamma Fc region receptor II-a|Low affinity immunoglobulin gamma Fc region receptor III-A|Low affinity immunoglobulin gamma Fc region receptor III-B,Cetuximab Action Pathway,Cetuximab|Cétuximab|Cetuximabum
DB00003,Dornase alfa,biotech,approved,DNA,,"Deoxyribonuclease (human clone 18-1 protein moiety)|Dornasa alfa|Dornase alfa|Dornase alfa, recombinant|Dornase alpha|Recombinant deoxyribonuclease (DNAse)"
DB00004,Denileukin diftitox,biotech,approved|investigational,Cytokine receptor common subunit gamma|Interleukin-2 receptor subunit alpha|Interleukin-2 receptor subunit beta,,Denileukin|Denileukin diftitox|Interleukin-2/diptheria toxin fusion protein
DB00005,Etanercept,biotech,approved|investigational,Complement component 1q (C1q)|High affinity immunoglobulin gamma Fc receptor I|Low affinity immunoglobulin gamma Fc region receptor II-a|Low affinity immunoglobulin gamma Fc region receptor II-b|Low affinity immunoglobulin gamma Fc region receptor II-c|Low affinity immunoglobulin gamma Fc region receptor III-A|Low affinity immunoglobulin gamma Fc region receptor III-B|Lymphotoxin-alpha|Tumor necrosis factor,,Etanercept|etanercept-szzs|etanercept-ykro|Recombinant human TNF|rhu TNFR:Fc|rhu-TNFR:Fc|TNFR-Immunoadhesin
,Bivalirudin,,,,,
,Phylloquinone,,,,,
,Calcium,,,,,
DB00006,Bivalirudin,small molecule,approved|investigational,Prothrombin,Bivalirudin Action Pathway,Bivalirudin|Bivalirudina|Bivalirudinum
DB00007,Leuprolide,small molecule,approved|investigational,Gonadotropin-releasing hormone receptor,,Leuprorelin|Leuprorelina|Leuproreline|Leuprorelinum
