PMCID,Ebola Protein,Interaction,Host Protein
PMC7223853,GP,neutralize,The analysis
PMC7223853,GP,change,A mutation
PMC7223853,glycoprotein,change,A mutation
PMC7223853,GP,activate,this mutation
PMC7223853,GP,bind,EBOV tissue
PMC7223853,glycoprotein,bind,EBOV tissue
PMC7223853,GP,bind,infected macrophages
PMC7223853,GP,associate,EBOV
PMC7223853,glycoprotein,associate,EBOV
PMC7223853,NP,associate,EBOV
PMC7223853,nucleoprotein,associate,EBOV
PMC7223853,L,associate,EBOV
PMC7223853,VP24,associate,EBOV
PMC7223853,VP30,associate,EBOV
PMC7223853,VP35,associate,EBOV
PMC7223853,VP40,associate,EBOV
PMC7223853,GP,bind,The binding
PMC7223853,glycoprotein,bind,The binding
PMC7223853,GP,bind,the late endosome
PMC7223853,L,bind,the late endosome
PMC7223853,GP,interact,A low pH
PMC7223853,NP,interact,A low pH
PMC7223853,GP,translate,the cytosol
PMC7223853,VP35,bind,EBOV VP35 suppresses production
PMC7223853,GP,suppress,addition
PMC7223853,VP35,suppress,addition
PMC7223853,VP24,associate,A second EBOV-encoded protein
PMC7223853,VP40,disrupt,EBOV VP40
PMC7223853,GP,induce,A vaccinated individual
PMC7223853,GP,associate,vaccinated individuals
PMC7223853,GP,prevent,Table 2 EBOV detection tests
PMC7223853,glycoprotein,prevent,Table 2 EBOV detection tests
PMC7223853,NP,prevent,Table 2 EBOV detection tests
PMC7223853,nucleoprotein,prevent,Table 2 EBOV detection tests
PMC7223853,VP40,prevent,Table 2 EBOV detection tests
PMC7223853,GP,target,the context
PMC7223853,NP,target,the context
PMC7223853,GP,stimulate,the EBOV
PMC7223853,glycoprotein,stimulate,the EBOV
PMC7223853,GP,activate,the success
PMC7223853,GP,express,Table 3 EVD candidate vaccines
PMC7223853,GP,express,humoral immunity
PMC7223853,GP,express,Secondary: immune responses
PMC7223853,GP,bind,Secondary: viraemia
PMC7223853,GP,express,EBOV infections
PMC7223853,GP,express,Secondary: assessment
PMC7223853,GP,bind,participants
PMC7223853,GP,neutralize,primary vaccination
PMC7223853,GP,express,persistence
PMC7223853,GP,bind,Secondary: number
PMC7223853,GP,activate,Secondary: pro-inflammatory cytokine response
PMC7223853,GP,form,EBOV
PMC7223853,glycoprotein,form,EBOV
PMC7223853,GP,prevent,October
PMC7223853,L,suppress,another single-arm trial
PMC7223853,VP35,suppress,another single-arm trial
