PMCID,Ebola Protein,Interaction,Host Protein
PMC7223853,GP,bind,NPC1
PMC7223853,GP,transport,NPC1
PMC7223853,GP,attach,NPC1
PMC7223853,VP24,activate,STAT1
PMC7223853,VP24,inhibit,STAT1
PMC7223853,VP24,induce,STAT1
PMC7223853,VP24,phosphorylate,STAT1
PMC7223853,VP24,express,STAT1
PMC7223853,VP24,prevent,STAT1
PMC7223853,VP24,signal,STAT1
PMC10759212,GP,bind,NPC1
PMC10759212,GP,interact,NPC1
PMC10759212,GP,neutralize,NPC1
PMC5620561,VP35,inhibit,IRF3
PMC5620561,VP35,suppress,IRF3
PMC5620561,VP35,signal,IRF3
PMC4320629,VP35,activate,TBK1
PMC4320629,VP35,inhibit,TBK1
PMC4320629,VP35,induce,TBK1
PMC4320629,VP35,phosphorylate,TBK1
PMC4320629,VP35,facilitate,TBK1
PMC4320629,VP35,sequester,TBK1
PMC4320629,VP24,activate,STAT1
PMC4320629,VP24,inhibit,STAT1
PMC4320629,VP24,translocate,STAT1
PMC4320629,VP40,recognize,CD4
PMC4320629,GP,interact,CD44
PMC4320629,GP,involve,CD44
PMC7126370,GP,express,TLR4
PMC7126370,GP,signal,TLR4
PMC7126370,GP,express,TLR4
PMC7126370,GP,signal,TLR4
PMC7126370,GP,express,SOCS1
PMC7126370,GP,signal,SOCS1
PMC7126370,GP,interact,TLR4
PMC7126370,GP,stimulate,TLR4
PMC7126370,GP,express,TLR4
PMC7126370,GP,induce,SOCS1
PMC7126370,GP,express,SOCS1
PMC7126370,GP,stimulate,TLR4
PMC7126370,GP,enhance,TLR4
PMC7126370,GP,stimulate,SOCS1
PMC7126370,GP,enhance,SOCS1
PMC8784787,GP,bind,NPC1
PMC8784787,GP,interact,GP2
PMC11344561,GP,associate,TFPI
PMC11344561,GP,regulate,TFPI
PMC11344561,GP,target,TFPI
PMC11344561,GP,associate,CFLAR
PMC11344561,GP,regulate,CFLAR
PMC11344561,GP,target,CFLAR
PMC11344561,GP,associate,DAG1
PMC11344561,GP,regulate,DAG1
PMC11344561,GP,target,DAG1
PMC11344561,VP24,induce,KPNA1
PMC11344561,VP24,express,KPNA1
PMC11344561,VP24,encode,KPNA1
PMC11344561,VP24,impair,KPNA1
PMC11344561,VP24,signal,KPNA1
PMC7996233,GP,neutralize,PRNT
PMC7996233,GP,target,PRNT
PMC7996233,GP,bind,PRNT
PMC7996233,GP,neutralize,PRNT
PMC7996233,GP,facilitate,PRNT
PMC7996233,GP,impact,PRNT
PMC7184900,GP,associate,ADNP
PMC7184900,GP,activate,ADNP
PMC7184900,GP,mediate,ADNP
PMC7603231,GP,interact,Fas
PMC7603231,GP,signal,Fas
PMC7603231,GP,bind,TLR4
PMC7603231,VP35,interact,TBK1
PMC7603231,VP35,activate,TBK1
PMC7603231,VP35,block,TBK1
PMC3316994,GP,interact,GP2
PMC3316994,GP,interact,GP2
PMC10956775,GP,associate,CD68
PMC10956775,GP,activate,CD68
PMC10956775,GP,express,CD68
PMC10956775,GP,affect,CD68
PMC10956775,GP,disrupt,CD68
PMC10956775,GP,impact,CD68
PMC10956775,GP,involve,CD68
PMC10474883,GP,bind,GP2
PMC6095993,GP,mediate,GP2
PMC6095993,GP,target,GP2
PMC6095993,GP,interact,BST2
PMC6095993,GP,associate,BST2
PMC6095993,GP,activate,BST2
PMC6095993,GP,induce,BST2
PMC6095993,VP40,activate,BST2
PMC6095993,VP40,signal,BST2
PMC6095993,GP,inhibit,NPC1
PMC6095993,GP,target,NPC1
PMC6095993,GP,cleave,NPC1
PMC6095993,GP,interact,NPC1
PMC6095993,GP,target,NPC1
PMC6095993,GP,bind,Stat2
PMC6095993,GP,interact,Stat2
PMC6095993,GP,activate,Stat2
PMC6095993,GP,inhibit,Stat2
PMC6095993,GP,suppress,Stat2
PMC6095993,GP,express,Stat2
PMC6095993,GP,neutralize,Stat2
PMC6095993,GP,target,Stat2
PMC4748290,GP,link,furin
PMC4748290,GP,link,GP2
PMC11939263,GP,bind,GP2
PMC11939263,GP,interact,GP2
PMC11939263,GP,interact,GC
PMC11939263,GP,bind,NPC1
PMC11939263,GP,block,NPC1
PMC11939263,GP,target,NPC1
PMC11939263,GP,bind,GP2
PMC11939263,GP,interact,NPC1
PMC11939263,GP,interact,NPC1
PMC11939263,GP,neutralize,NPC1
PMC11939263,GP,bind,GP2
PMC11939263,GP,interact,GP2
PMC11939263,GP,interact,GC
PMC11939263,GP,neutralize,GC
PMC11939263,GP,interact,NPC1
PMC3868506,GP,control,PRNT
PMC3868506,GP,control,PRNT
PMC3868506,GP,associate,CD4
PMC7553754,GP,stimulate,CD4
PMC4675769,GP,facilitate,NPC1
PMC5930306,GP,cleave,furin
PMC5930306,GP,transport,furin
PMC5930306,GP,affect,NPC1
PMC5930306,GP,express,furin
PMC5930306,GP,control,furin
PMC5930306,GP,cleave,furin
PMC5930306,GP,inhibit,furin
PMC5930306,GP,express,furin
PMC5930306,GP,affect,furin
PMC5930306,GP,replace,furin
PMC7423149,NP,promote,SP6
PMC7423149,NP,promote,SP6
PMC7423149,NP,promote,SP6
PMC7423149,NP,promote,SP6
PMC6346465,L,associate,CD163
PMC6346465,L,activate,CD163
PMC6428255,GP,bind,GP2
PMC6428255,GP,bind,GP2
PMC6428255,GP,form,GP2
PMC6428255,GP,associate,SI
PMC6428255,GP,bind,GP2
PMC3528289,GP,mediate,CD4
PMC3528289,GP,inactivate,CD4
PMC3528289,GP,neutralize,CD4
PMC3528289,GP,encode,CD4
PMC3528289,GP,control,CD4
PMC3528289,GP,mediate,CD4
PMC3528289,GP,inactivate,CD4
PMC3528289,GP,neutralize,CD4
PMC3528289,GP,encode,CD4
PMC3528289,GP,control,CD4
PMC7608863,GP,bind,SPR
PMC7608863,GP,bind,SPR
PMC7608863,GP,interact,SPR
PMC7608863,GP,target,SPR
PMC5547776,L,activate,CRP
PMC5547776,L,activate,CRP
PMC7895930,GP,stimulate,CD4
PMC7895930,GP,bind,NPC1
PMC5662559,L,involve,RPS3A
PMC5662559,L,translate,RPS3A
PMC5662559,GP,mediate,SIGLEC1
PMC5662559,GP,involve,SIGLEC1
PMC5662559,GP,mediate,HIP1R
PMC5662559,GP,involve,HIP1R
PMC4306839,GP,form,GP2
PMC4306839,GP,attach,GP2
PMC4306839,GP,cleave,GP2
PMC4306839,GP,form,GP2
PMC4306839,GP,associate,furin
PMC4306839,GP,activate,GP2
PMC4306839,GP,suppress,GP2
PMC4306839,GP,neutralize,GP2
PMC4482208,GP,bind,furin
PMC4482208,GP,express,furin
