PMCID,Ebola Protein,Interaction,Host Protein
PMC4320629,glycoprotein,interact,CD44
PMC7126370,GP,interact,TLR4
PMC4675769,glycoprotein,facilitate,NPC1
PMC7802368,glycoprotein,impact,Impact
PMC5115602,GP,cleave,furin
PMC5115602,GP,interact,NPC1
PMC9042921,VP35,associate,AKIP1
PMC9042921,L,interact,CREB1
PMC9042921,VP35,bind,AKIP1
PMC4333865,GP,bind,EMILIN1
PMC5411992,GP,bind,NPC1
PMC5942362,VP40,phosphorylate,ABL1
PMC10828234,VP30,recruit,SRPK1
PMC10828234,GP,activate,Xkr8
PMC10828234,GP,interact,NPC1
PMC12004191,GP,bind,F2
PMC12004191,L,bind,F5
PMC5570806,GP,bind,NPC1
PMC11230233,GP,form,GP2
PMC8191996,VP40,ubiquitinate,NEDD4
PMC8191996,VP40,interact,ISG15
PMC8191996,VP40,acetylate,NEDD4
PMC9637988,GP,activate,TLR4
PMC9637988,GP,interact,TLR4
PMC4551310,GP,interact,IRF7
PMC4551310,VP24,interact,IRF7
PMC4551310,VP35,interact,IRF7
PMC10684970,GP,interact,TLR4
PMC8030727,glycoprotein,bind,MFI
PMC4643030,GP,express,IRF1
PMC4643030,GP,express,IRF1
PMC7101121,NP,neutralize,pigs
PMC6971408,GP,interact,HSPA1A
PMC4213565,VP40,interact,Sec24C
PMC7289892,GP,activate,BST2
PMC7289892,VP40,activate,BST2
PMC7289892,NP,express,CCDC92
PMC7289892,NP,affect,BTN3A3
PMC7289892,NP,inhibit,CCDC92
PMC7289892,VP30,inhibit,CCDC92
PMC7289892,NP,bind,CCDC92
PMC8538763,GP,cleave,furin
PMC8538763,VP40,activate,GP2
PMC8538763,GP,link,GP2
PMC8538763,VP24,activate,GP2
PMC4617201,GP,interact,NPC1
PMC5469273,L,disrupt,LIMK1
PMC4819692,glycoprotein,translocate,NPC2
PMC8568338,VP40,bind,nMS
PMC5380843,VP35,control,cGAS
PMC7042693,VP30,phosphorylate,SRPK1
PMC7042693,VP30,recognize,SRPK1
PMC7042693,VP30,impact,Impact
PMC7042693,VP30,phosphorylate,SRPK1
PMC7042693,VP30,phosphorylate,SRPK1
PMC7042693,VP30,recruit,SRPK1
PMC7042693,VP30,interact,SRPK1
PMC7042693,VP35,interact,SRPK1
PMC11014611,GP,bind,CTSB
PMC11014611,VP30,phosphorylate,SRPK1
PMC11014611,NP,affect,CAD
PMC11014611,VP30,associate,STRAP
PMC11014611,VP35,associate,STRAP
PMC11014611,VP35,impact,STRAP
PMC4791852,GP,bind,NPC1
PMC10651192,GP,bind,Set
PMC9505868,VP40,signal,CAPG
PMC9505868,VP40,associate,CAPG
PMC9505868,VP40,bind,TSG101
PMC9505868,VP40,bind,CAPG
PMC9505868,GP,associate,CAPG
PMC9505868,VP40,associate,CAPG
PMC9505868,VP40,bind,CAPG
PMC6563240,NP,translocate,Brd3
PMC6563240,GP,bind,NPC1
PMC6336797,NP,associate,NPC1
PMC6178623,NP,interact,HNRNPL
PMC8472148,GP,inhibit,HERC5
PMC10942258,VP35,activate,PDF
PMC6758638,VP30,dephosphorylate,SMYD3
PMC6758638,NP,associate,SMYD3
PMC6758638,NP,interact,SMYD3
PMC6758638,VP30,interact,SMYD3
PMC6758638,VP35,interact,SMYD3
PMC6758638,NP,interact,SMYD3
PMC6758638,NP,recruit,SMYD3
PMC6758638,NP,interact,SMYD3
PMC6758638,VP30,interact,SMYD3
PMC6758638,NP,bind,SMYD3
PMC6758638,NP,bind,SMYD3
PMC6758638,NP,interact,SMYD3
PMC6758638,VP30,interact,SMYD3
PMC7830673,VP30,activate,NXF1
PMC9931551,GP,activate,CD4
PMC9931551,NP,activate,CD4
PMC6818130,glycoprotein,associate,NPC1
PMC9106010,VP40,interact,SMURF2
PMC8783937,VP40,associate,GAPDH
PMC10274954,NP,crosslink,DSP
PMC10274954,NP,form,DSP
PMC10274954,NP,crosslink,DSP
PMC3175325,GP,mediate,NPC1
PMC11727051,NP,impact,Impact
PMC11727051,NP,phosphorylate,Impact
PMC10286672,NP,express,METTL3
PMC10286672,VP30,express,METTL3
PMC10286672,NP,interact,METTL3
PMC8224886,VP24,inhibit,OSM
PMC8224886,VP24,induce,OSM
PMC8224886,VP24,inhibit,STAT3
PMC8224886,VP24,bind,OSM
PMC8224886,VP24,bind,STAT3
PMC8224886,VP24,interact,STAT3
PMC8224886,VP24,interact,STAT3
PMC11894184,VP35,bind,NPs
PMC9119685,GP,activate,TRIM25
PMC9119685,NP,interact,TRIM25
PMC9119685,NP,cleave,TRIM25
PMC9119685,NP,interact,TRIM25
PMC9119685,NP,interact,TRIM25
PMC4564540,GP,bind,NPC1
PMC11255267,GP,inhibit,GC
PMC4709267,GP,recognize,NPC1
PMC7665841,GP,activate,CIITA
PMC7034923,GP,interact,NPC1
PMC7034923,GP,bind,NPC1
PMC6082427,GP,bind,GP2
PMC7290923,NP,interact,RBBP6
PMC7290923,VP30,interact,RBBP6
PMC7290923,NP,interact,CAD
PMC7290923,NP,activate,CAD
PMC7017048,VP30,bind,RBBP6
PMC7017048,NP,interact,NXF1
PMC7017048,VP30,interact,NXF1
PMC7017048,VP35,interact,NXF1
PMC7017048,VP40,interact,NXF1
PMC7017048,NP,interact,NXF1
PMC7017048,NP,recruit,NXF1
PMC7017048,NP,bind,NXF1
PMC6173733,GP,inactivate,PRNT
PMC9554868,GP,express,CALR
PMC9554868,GP,express,CANX
PMC9554868,GP,express,HSPA5
PMC9554868,GP,express,HSPA5
PMC9554868,GP,express,CALR
PMC9554868,GP,activate,RNF26
PMC9554868,GP,activate,RNF26
PMC9554868,GP,express,PDIA3
PMC9554868,GP,express,RNF185
PMC3402687,GP,interact,NPC1
PMC4752599,GP,trigger,NPC1
PMC10153373,GP,inhibit,GC
PMC3390324,VP40,interact,Tsg101
PMC5231391,GP,activate,Syk
PMC5231391,GP,express,Src
PMC6240689,GP,interact,HSPA1A
PMC6240689,VP40,interact,HSP90AB1
PMC5786336,GP,transport,Xkr8
PMC4329671,VP24,bind,STAT1
PMC10228085,L,target,She
PMC6875310,glycoprotein,associate,MBP
PMC9119628,L,bind,TRIM6
PMC9119628,VP35,bind,TRIM6
PMC3575416,GP,bind,NPC1
PMC3575416,GP,bind,NPC1
PMC9923124,glycoprotein,cleave,CD4
PMC11341029,VP30,target,PIK3C3
PMC11341029,VP30,replace,PIK3C3
PMC11341029,glycoprotein,bind,SLC39A9
PMC11341029,GP,interact,SLC39A9
PMC11341029,VP30,interact,SLC39A9
PMC11341029,GP,interact,SLC39A9
PMC11341029,glycoprotein,interact,SLC39A9
