PMCID,Ebola Protein,Interaction,Host Protein
PMC7223853,GP,neutralize,MCMs
PMC7223853,GP,respond,MCMs
PMC7223853,GP,change,EBOV glycoprotein GP
PMC7223853,GP,activate,"GP 1,2"
PMC7223853,GP,stabilize,"GP 1,2"
PMC7223853,GP,enhance,"GP 1,2"
PMC7223853,GP,bind,NPC1
PMC7223853,GP,transport,NPC1
PMC7223853,GP,attach,NPC1
PMC7223853,GP,bind,NiemannâPick C1 protein) receptor 83
PMC7223853,GP,transport,NiemannâPick C1 protein) receptor 83
PMC7223853,GP,attach,NiemannâPick C1 protein) receptor 83
PMC7223853,GP,bind,EBOV
PMC7223853,GP,activate,EBOV
PMC7223853,GP,activate,VP35  polymerase
PMC7223853,GP,express,VP35  polymerase
PMC7223853,GP,encode,VP35  polymerase
PMC7223853,GP,activate,VP40
PMC7223853,GP,express,VP40
PMC7223853,GP,encode,VP40
PMC7223853,GP,activate,GP  glycoprotein GP
PMC7223853,GP,express,GP  glycoprotein GP
PMC7223853,GP,encode,GP  glycoprotein GP
PMC7223853,GP,activate,VP30  transcriptional activator VP30
PMC7223853,GP,express,VP30  transcriptional activator VP30
PMC7223853,GP,encode,VP30  transcriptional activator VP30
PMC7223853,GP,bind,"homotrimeric structural glycoprotein GP 1,2"
PMC7223853,GP,mediate,"homotrimeric structural glycoprotein GP 1,2"
PMC7223853,GP,form,"homotrimeric structural glycoprotein GP 1,2"
PMC7223853,GP,attach,"homotrimeric structural glycoprotein GP 1,2"
PMC7223853,GP,connect,"homotrimeric structural glycoprotein GP 1,2"
PMC7223853,GP,bind,subunits GP 1
PMC7223853,GP,mediate,subunits GP 1
PMC7223853,GP,form,subunits GP 1
PMC7223853,GP,attach,subunits GP 1
PMC7223853,GP,connect,subunits GP 1
PMC7223853,GP,bind,GP 2
PMC7223853,GP,mediate,GP 2
PMC7223853,GP,form,GP 2
PMC7223853,GP,attach,GP 2
PMC7223853,GP,connect,GP 2
PMC7223853,GP,cleave,"GP 1,2"
PMC7223853,GP,cleave,CatB
PMC7223853,GP,cleave,cathepsin L
PMC7223853,GP,cleave,CatL
PMC7223853,GP,cleave,GP 1
PMC7223853,GP,interact,GP 1
PMC7223853,GP,induce,GP 1
PMC7223853,GP,translate,"GP 1,2"
PMC7223853,GP,translate,ER
PMC7223853,VP35,bind,type I IFN
PMC7223853,VP35,interact,type I IFN
PMC7223853,VP35,suppress,type I IFN
PMC7223853,VP35,phosphorylate,type I IFN
PMC7223853,VP35,impair,type I IFN
PMC7223853,VP35,bind,IRF-3
PMC7223853,VP35,interact,IRF-3
