viral_protein,relation,human_protein
NP,interacts_with,AP2M1
NP,interacts_with,GGA3
VP24,interacts_with,ANP32A
VP24,interacts_with,ANP32B
VP24,interacts_with,CCAR2
VP24,interacts_with,CGGBP1
VP24,interacts_with,EEF1A1
VP24,interacts_with,EEF1A1P5
VP24,interacts_with,EEF1A2
VP24,interacts_with,H3-3A
VP24,interacts_with,H3-4
VP24,interacts_with,H3-5
VP24,interacts_with,H3C1
VP24,interacts_with,H3C13
VP24,interacts_with,H4C16
VP24,interacts_with,HNRNPL
VP24,interacts_with,HNRNPU
VP24,interacts_with,KLHL7
VP24,interacts_with,KPNA1
VP24,interacts_with,KPNA5
VP24,interacts_with,KPNA6
VP24,interacts_with,KPNB1
VP24,interacts_with,MYO5A
VP24,interacts_with,MYO5C
VP24,interacts_with,NUP153
VP24,interacts_with,POM121
VP24,interacts_with,POM121C
VP24,interacts_with,PPAN
VP24,interacts_with,RPS27
VP24,interacts_with,RPS27L
VP24,interacts_with,SLC25A3
VP24,interacts_with,SMARCA4
VP24,interacts_with,SMARCC2
VP24,interacts_with,SMARCE1
VP24,interacts_with,SPOP
VP24,interacts_with,TUBA1C
VP24,interacts_with,TUBB
VP24,interacts_with,USP9X
VP35,interacts_with,ATXN2L
VP35,interacts_with,BAG2
VP35,interacts_with,BAZ1B
VP35,interacts_with,BLOC1S1
VP35,interacts_with,BORCS5
VP35,interacts_with,BORCS7
VP35,interacts_with,DYNLL1
VP35,interacts_with,DYNLL2
VP35,interacts_with,EDC4
VP35,interacts_with,FUS
VP35,interacts_with,GART
VP35,interacts_with,H2AC11
VP35,interacts_with,H2AC12
VP35,interacts_with,H2AC14
VP35,interacts_with,H2AC18
VP35,interacts_with,H2AC20
VP35,interacts_with,H2AC25
VP35,interacts_with,H2AC4
VP35,interacts_with,H2AC6
VP35,interacts_with,H2AC7
VP35,interacts_with,H2AJ
VP35,interacts_with,H2BC1
VP35,interacts_with,H2BC10
VP35,interacts_with,H2BC11
VP35,interacts_with,H2BC12
VP35,interacts_with,H2BC12L
VP35,interacts_with,H2BC13
VP35,interacts_with,H2BC14
VP35,interacts_with,H2BC15
VP35,interacts_with,H2BC17
VP35,interacts_with,H2BC18
VP35,interacts_with,H2BC21
VP35,interacts_with,H2BC26
VP35,interacts_with,H2BC3
VP35,interacts_with,H2BC5
VP35,interacts_with,H2BC9
VP35,interacts_with,H4C16
VP35,interacts_with,HNRNPA1
VP35,interacts_with,HNRNPA1L2
VP35,interacts_with,HNRNPA2B1
VP35,interacts_with,HNRNPAB
VP35,interacts_with,HNRNPF
VP35,interacts_with,HNRNPH1
VP35,interacts_with,HNRNPH2
VP35,interacts_with,HNRNPH3
VP35,interacts_with,MIB2
VP35,interacts_with,NEFH
VP35,interacts_with,P0C7M2_HUMAN
VP35,interacts_with,PIP
VP35,interacts_with,RPL12
VP35,interacts_with,RPL22
VP35,interacts_with,RPLP0
VP35,interacts_with,RPLP1
VP35,interacts_with,TUBA1A
VP35,interacts_with,TUBA1C
