Viral_Protein,Relation,Host_Protein,PubMed_ID
Q05320,physical association,Q96HR9,pubmed:30550789
Q05320,physical association,Q99623,pubmed:30550789
Q05320,physical association,Q9BYC5,pubmed:30550789
Q05320,physical association,Q9H3N1,pubmed:30550789
Q05320,physical association,Q14697,pubmed:30550789
Q05320,physical association,Q15165,pubmed:30550789
Q05320,physical association,Q5JY77,pubmed:30550789
Q05320,physical association,Q5UIP0,pubmed:30550789
Q05320,physical association,P25815,pubmed:30550789
Q05320,physical association,P27824,pubmed:30550789
Q05320,physical association,P35232,pubmed:30550789
Q05320,physical association,P41252,pubmed:30550789
Q05320,physical association,O00214,pubmed:30550789
Q05320,physical association,O14967,pubmed:30550789
Q05320,physical association,Q00765,pubmed:30550789
Q05320,physical association,Q12904,pubmed:30550789
Q05320,physical association,Q12968,pubmed:30550789
Q05320,physical association,P09382,pubmed:30550789
Q05320,physical association,P10515,pubmed:30550789
Q05320,physical association,P14314,pubmed:30550789
Q05320,physical association,P17931,pubmed:30550789
Q05320,physical association,P49810,pubmed:30550789
Q05322,physical association,Q96TA2,pubmed:25158218
Q05322,physical association,Q96TA2,pubmed:30550789
Q05322,physical association,Q99832,pubmed:25158218
Q05322,physical association,Q9BTT0,pubmed:30550789
Q05322,physical association,Q9H2P0,pubmed:30550789
Q05322,physical association,Q9HCN8,pubmed:30550789
Q05322,physical association,Q9NQX4,pubmed:30550789
Q05322,physical association,Q9P258,pubmed:25158218
Q05322,physical association,Q9UNL2,pubmed:25158218
Q05322,physical association,Q9Y4I1,pubmed:30550789
Q05322,physical association,Q9Y5M8,pubmed:25158218
Q05322,physical association,Q14839,pubmed:25158218
Q05322,physical association,Q14839,pubmed:30550789
Q05322,physical association,Q14974,pubmed:30550789
Q05322,physical association,Q15758,pubmed:25158218
Q05322,physical association,Q15907,pubmed:25158218
Q05322,physical association,Q16531,pubmed:25158218
Q05322,physical association,Q16576,pubmed:30550789
Q05322,physical association,P20700,pubmed:25158218
Q05322,physical association,P21796,pubmed:25158218
Q05322,physical association,P22626,pubmed:25158218
Q05322,physical association,P23396,pubmed:25158218
Q05322,physical association,P27708,pubmed:25158218
Q05322,physical association,P30050,pubmed:25158218
Q05322,physical association,P31689,pubmed:25158218
Q05322,physical association,P35232,pubmed:25158218
Q05322,physical association,P35268,pubmed:25158218
Q05322,physical association,P35613,pubmed:25158218
Q05322,physical association,P39687,pubmed:25158218
Q05322,physical association,P39687,pubmed:30550789
Q05322,physical association,F8VVM2,pubmed:25158218
Q05322,physical association,O00165,pubmed:30550789
Q05322,physical association,O00264,pubmed:25158218
Q05322,physical association,O14776,pubmed:30550789
Q05322,physical association,O15131,pubmed:30550789
Q05322,physical association,O15131,pubmed:17928350
Q05322,physical association,O15269,pubmed:25158218
Q05322,physical association,O43175,pubmed:25158218
Q05322,physical association,O43791,pubmed:30550789
Q05322,physical association,P78527,pubmed:25158218
Q05322,physical association,Q09028,pubmed:25158218
Q05322,physical association,Q09028,pubmed:30550789
Q05322,physical association,Q13263,pubmed:25158218
Q05322,physical association,Q14257,pubmed:25158218
Q05322,physical association,O60684,pubmed:25158218
Q05322,physical association,O60684,pubmed:30550789
Q05322,physical association,O60684,pubmed:17928350
Q05322,physical association,O95831,pubmed:25158218
Q05322,physical association,O95983,pubmed:30550789
Q05322,physical association,P04637,pubmed:30550789
Q05322,physical association,P04843,pubmed:25158218
Q05322,physical association,P04844,pubmed:25158218
Q05322,physical association,P05023,pubmed:25158218
Q05322,physical association,P05023,pubmed:30550789
Q05322,physical association,P05141,pubmed:25158218
Q05322,physical association,P07437,pubmed:25158218
Q05322,physical association,P07919,pubmed:25158218
Q05322,physical association,P08238,pubmed:25158218
Q05322,physical association,P08708,pubmed:25158218
Q05322,physical association,P0DMV8,pubmed:25158218
Q05322,physical association,P0DP23,pubmed:30550789
Q05322,physical association,P10412,pubmed:25158218
Q05322,physical association,P10606,pubmed:25158218
Q05322,physical association,P11142,pubmed:25158218
Q05322,physical association,P12004,pubmed:25158218
Q05322,physical association,P16615,pubmed:25158218
Q05322,physical association,P16615,pubmed:30550789
Q05322,physical association,P17987,pubmed:25158218
Q05322,physical association,P45880,pubmed:25158218
Q05322,physical association,P48643,pubmed:25158218
Q05322,physical association,P49411,pubmed:25158218
Q05322,physical association,P49755,pubmed:25158218
Q05322,physical association,P50402,pubmed:25158218
Q05322,physical association,P50402,pubmed:30550789
Q05322,physical association,P51149,pubmed:25158218
Q05322,physical association,P51571,pubmed:25158218
Q05322,physical association,P52294,pubmed:25158218
Q05322,physical association,P52294,pubmed:30550789
Q05322,physical association,P52294,pubmed:16698996
Q05322,physical association,P52294,pubmed:17928350
Q05322,physical association,P60866,pubmed:25158218
Q05322,physical association,P61626,pubmed:30550789
Q05322,physical association,P61978,pubmed:25158218
Q05322,physical association,P62879,pubmed:25158218
Q05322,physical association,Q86YP4,pubmed:30550789
Q05322,physical association,Q8IXM2,pubmed:30550789
