PMID,OpenAccess,PMC_ID,FullTextURL
32080199,Yes,PMC7223853,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7223853
31668200,No,,
37355146,No,,
33873076,No,,
31567063,No,,
25694096,No,,
25402574,Yes,PMC4605416,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4605416
28791241,Yes,PMC5525473,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5525473
38169842,Yes,PMC10759212,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10759212
28440096,Yes,PMC5653233,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5653233
37196593,No,,
36851146,Yes,PMC9963029,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9963029
32055888,Yes,PMC7223059,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7223059
27585217,No,,
31450596,Yes,PMC6784166,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6784166
31806422,No,,
31845848,Yes,PMC6924885,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6924885
28058346,Yes,PMC5175058,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5175058
28643203,No,,
28653186,Yes,PMC7122202,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7122202
34978842,No,,
27106962,No,,
32487785,No,,
34864559,No,,
28822631,Yes,PMC5743218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5743218
28872492,Yes,PMC5988239,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5988239
33683061,No,,
27020309,No,,
28930167,Yes,PMC5620561,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5620561
36426097,Yes,PMC9678804,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9678804
25547820,No,,
25694092,No,,
25373801,Yes,PMC4286619,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4286619
26781718,Yes,PMC7088354,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7088354
27337455,No,,
29993303,No,,
26558534,No,,
25866626,Yes,PMC4393611,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4393611
27853993,Yes,PMC6791933,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6791933
27010528,No,,
32075725,No,,
26952811,No,,
27424613,No,,
27160784,Yes,PMC5026048,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5026048
38449901,Yes,PMC10914067,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10914067
28057165,No,,
26147380,Yes,PMC7166513,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7166513
31700659,Yes,PMC6816123,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6816123
36356934,No,,
31779496,No,,
28399710,No,,
25694095,No,,
37279544,Yes,PMC10428198,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10428198
28478336,No,,
37369978,Yes,PMC10469131,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10469131
28646340,No,,
32325950,Yes,PMC7232169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7232169
25648530,Yes,PMC4313106,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4313106
27177574,No,,
33912300,Yes,PMC8051212,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8051212
25592846,Yes,PMC4320629,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4320629
30654482,Yes,PMC6356631,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6356631
31463229,Yes,PMC6691429,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6691429
28391498,No,,
27788135,Yes,PMC5082928,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5082928
27533284,Yes,PMC4994351,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4994351
26000173,Yes,PMC4440555,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4440555
28398679,Yes,PMC5407292,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5407292
35608611,Yes,PMC9155869,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9155869
26018030,Yes,PMC4450609,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4450609
26826442,Yes,PMC4902774,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4902774
29208326,Yes,PMC7126370,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7126370
35082794,Yes,PMC8784787,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8784787
25387613,No,,
25897646,Yes,PMC4412251,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4412251
39592396,Yes,PMC11616659,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11616659
38801652,Yes,PMC11481455,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11481455
27147028,Yes,PMC4876960,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876960
39184819,Yes,PMC11344561,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11344561
35120540,Yes,PMC8815720,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8815720
25855946,Yes,PMC7094606,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7094606
38156572,No,,
30942884,No,,
36975793,Yes,PMC10231233,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10231233
34965891,Yes,PMC8716304,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716304
36756241,Yes,PMC9900378,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9900378
25498866,No,,
33691133,No,,
26711624,No,,
35206794,Yes,PMC8872520,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8872520
30609455,No,,
33668698,Yes,PMC7996233,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7996233
31404295,Yes,PMC6675925,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6675925
30550656,No,,
29053626,Yes,PMC6151658,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6151658
34077889,No,,
29848405,No,,
26266139,Yes,PMC4525528,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4525528
26923957,No,,
39118744,Yes,PMC11305799,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11305799
31301137,Yes,PMC7184900,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184900
25896751,No,,
39066263,Yes,PMC11281331,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11281331
38553525,Yes,PMC10980745,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10980745
28410486,No,,
29154144,Yes,PMC5730472,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5730472
30270875,Yes,PMC6082072,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6082072
31010606,No,,
33080902,Yes,PMC7603231,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7603231
35746571,Yes,PMC9228702,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9228702
35085865,No,,
22485110,Yes,PMC3316994,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3316994
