GeneSymbol,EntrezID,Reactome_ID,PathwayName,Evidence,URL
ABCB1,5243,R-HSA-2161517,Abacavir transmembrane transport,IEA,https://reactome.org/PathwayBrowser/#/R-HSA-2161517
ABCB1,5243,R-HSA-2161522,Abacavir ADME,IEA,https://reactome.org/PathwayBrowser/#/R-HSA-2161522
ABCB1,5243,R-HSA-382551,Transport of small molecules,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-382551
ABCB1,5243,R-HSA-382556,ABC-family proteins mediated transport,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-382556
ABCB1,5243,R-HSA-9748784,Drug ADME,IEA,https://reactome.org/PathwayBrowser/#/R-HSA-9748784
ABCB1,5243,R-HSA-9748784,Drug ADME,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-9748784
ABCB1,5243,R-HSA-9754706,Atorvastatin ADME,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-9754706
ABCB1,5243,R-HSA-9757110,Prednisone ADME,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-9757110
ABCD1,215,R-HSA-1369062,ABC transporters in lipid homeostasis,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-1369062
ABCD1,215,R-HSA-1430728,Metabolism,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-1430728
ABCD1,215,R-HSA-1643685,Disease,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-1643685
ABCD1,215,R-HSA-2046104,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-2046104
ABCD1,215,R-HSA-2046105,Linoleic acid (LA) metabolism,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-2046105
ABCD1,215,R-HSA-2046106,alpha-linolenic acid (ALA) metabolism,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-2046106
ABCD1,215,R-HSA-382551,Transport of small molecules,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-382551
ABCD1,215,R-HSA-382556,ABC-family proteins mediated transport,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-382556
ABCD1,215,R-HSA-390247,Beta-oxidation of very long chain fatty acids,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-390247
ABCD1,215,R-HSA-390918,Peroxisomal lipid metabolism,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-390918
ABCD1,215,R-HSA-556833,Metabolism of lipids,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-556833
ABCD1,215,R-HSA-5619084,ABC transporter disorders,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-5619084
ABCD1,215,R-HSA-5619115,Disorders of transmembrane transporters,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-5619115
ABCD1,215,R-HSA-5684045,Defective ABCD1 causes ALD,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-5684045
ABCD1,215,R-HSA-8978868,Fatty acid metabolism,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-8978868
ABCD1,215,R-HSA-9603798,Class I peroxisomal membrane protein import,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-9603798
ABCD1,215,R-HSA-9609507,Protein localization,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-9609507
ABL1,25,R-HSA-109582,Hemostasis,IEA,https://reactome.org/PathwayBrowser/#/R-HSA-109582
ABL1,25,R-HSA-1266738,Developmental Biology,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-1266738
ABL1,25,R-HSA-1266738,Developmental Biology,IEA,https://reactome.org/PathwayBrowser/#/R-HSA-1266738
ABL1,25,R-HSA-162582,Signal Transduction,TAS,https://reactome.org/PathwayBrowser/#/R-HSA-162582
