Source,Relation,Target
ABCB1,involved_in(Reactome),Abacavir transmembrane transport
ABCB1,involved_in(Reactome),Abacavir ADME
ABCB1,involved_in(Reactome),Transport of small molecules
ABCB1,involved_in(Reactome),ABC-family proteins mediated transport
ABCB1,involved_in(Reactome),Drug ADME
ABCB1,involved_in(Reactome),Atorvastatin ADME
ABCB1,involved_in(Reactome),Prednisone ADME
ABCD1,involved_in(Reactome),ABC transporters in lipid homeostasis
ABCD1,involved_in(Reactome),Metabolism
ABCD1,involved_in(Reactome),Disease
ABCD1,involved_in(Reactome),alpha-linolenic (omega3) and linoleic (omega6) acid metabolism
ABCD1,involved_in(Reactome),Linoleic acid (LA) metabolism
ABCD1,involved_in(Reactome),alpha-linolenic acid (ALA) metabolism
ABCD1,involved_in(Reactome),Transport of small molecules
ABCD1,involved_in(Reactome),ABC-family proteins mediated transport
ABCD1,involved_in(Reactome),Beta-oxidation of very long chain fatty acids
ABCD1,involved_in(Reactome),Peroxisomal lipid metabolism
ABCD1,involved_in(Reactome),Metabolism of lipids
ABCD1,involved_in(Reactome),ABC transporter disorders
ABCD1,involved_in(Reactome),Disorders of transmembrane transporters
ABCD1,involved_in(Reactome),Defective ABCD1 causes ALD
ABCD1,involved_in(Reactome),Fatty acid metabolism
ABCD1,involved_in(Reactome),Class I peroxisomal membrane protein import
ABCD1,involved_in(Reactome),Protein localization
ABL1,involved_in(Reactome),Hemostasis
ABL1,involved_in(Reactome),Developmental Biology
ABL1,involved_in(Reactome),Signal Transduction
ABL1,involved_in(Reactome),Cell Cycle
ABL1,involved_in(Reactome),Disease
ABL1,involved_in(Reactome),Innate Immune System
ABL1,involved_in(Reactome),Immune System
ABL1,involved_in(Reactome),Signaling by Rho GTPases
ABL1,involved_in(Reactome),RHO GTPase Effectors
ABL1,involved_in(Reactome),Fcgamma receptor (FCGR) dependent phagocytosis
ABL1,involved_in(Reactome),Regulation of actin dynamics for phagocytic cup formation
ABL1,involved_in(Reactome),Epigenetic regulation of gene expression
ABL1,involved_in(Reactome),Generic Transcription Pathway
ABL1,involved_in(Reactome),Signaling by ROBO receptors
ABL1,involved_in(Reactome),Axon guidance
ABL1,involved_in(Reactome),Role of ABL in ROBO-SLIT signaling
ABL1,involved_in(Reactome),Mitotic G1 phase and G1/S transition
ABL1,involved_in(Reactome),Myogenesis
ABL1,involved_in(Reactome),Infectious disease
ABL1,involved_in(Reactome),RHO GTPases Activate WASPs and WAVEs
ABL1,involved_in(Reactome),HDR through Single Strand Annealing (SSA)
ABL1,involved_in(Reactome),DNA Double-Strand Break Repair
ABL1,involved_in(Reactome),Homology Directed Repair
ABL1,involved_in(Reactome),Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
ABL1,involved_in(Reactome),HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)
ABL1,involved_in(Reactome),DNA Double Strand Break Response
ABL1,involved_in(Reactome),Cyclin D associated events in G1
