Gene,UniProt
NPC1,O15118
STAT1,P42224
IRF3,Q14653
TBK1,Q9UHD2
CD4,P01730
CD44,P16070
TLR4,O00206
SOCS1,O15524
GP2,P55259
TFPI,P10646
CFLAR,O15519
DAG1,Q14118
KPNA1,P52294
ADNP,Q9H2P0
FAS,P25445
CD68,P34810
BST2,Q10589
STAT2,P52630
FURIN,P09958
GC,P02774
SP6,Q3SY56
CD163,Q86VB7
SI,P14410
SPR,P35270
CRP,P02741
RPS3A,P61247
SIGLEC1,Q9BZZ2
HIP1R,O75146
TF,P02787
IL6,P05231
ISG15,P05161
TAT,P17735
CDR2,Q01850
CASP3,P42574
CD14,P08571
AKIP1,Q9NQ31
PRKACA,P17612
VASP,P50552
CREB1,P16220
SERPINB2,P05120
G3BP1,Q13283
EMILIN1,Q9Y6C2
CTSG,P08311
PRTN3,P24158
MARCKS,P29966
MX1,P20591
IL2,P60568
HAVCR1,Q96D42
JUN,P05412
CIC,Q96RK0
ABL1,P00519
NEDD4,P46934
DOK1,Q99704
ACE2,Q9BYF1
HR,O43593
BID,P55957
CD28,P10747
TIMD4,Q96H15
IRF1,P10914
GBP5,Q96PP8
ARG1,P05089
STAT3,P40763
JAK1,P23458
TYK2,P29597
NXF1,Q9UBU9
TRIM6,Q9C030
SRPK1,Q96SB4
SRPK2,P78362
ASGR1,P07306
CD209,Q9NNX6
CLEC4M,Q9H2X3
CLEC10A,Q8IUN9
CLEC4G,Q6UXB4
XKR8,Q9H6D3
TSG101,Q99816
CAD,P27708
IDS,P22304
ST13,P50502
ST14,Q9Y5Y6
ST18,O60284
AGT,P01019
PC,P11498
SEC13,P55735
SMARCC2,Q8TAQ2
RPN1,P04843
F5,P12259
IRF7,Q92985
IFNB1,P01574
EIF2AK2,P19525
CP,P00450
SAA2,P0DJI9
LRG1,P02750
C1S,P09871
C4B,P0C0L5
CCR5,P51681
CXCR4,P61073
TYRO3,Q06418
AXL,P30530
CLEC5A,Q9NY25
MERTK,Q12866
CAT,P04040
HECTD1,Q9ULT8
TG,P01266
CCR2,P41597
APCS,P02743
GAPDH,P04406
CD40,P25942
CD80,P33681
APC,P25054
C6,P13671
CPE,P16870
TBX21,Q9UL17
ICOS,Q9Y6W8
MVD,P53602
TLR2,O60603
TLR3,O15455
TLR7,Q9NYK1
MYD88,Q99836
TRAF6,Q9Y4K3
IRAK4,Q9NWZ3
NHS,Q6T4R5
HLA-DPA1,P20036
HRG,P04196
SERPINC1,P01008
KLKB1,P03952
SERPIND1,P05546
KNG1,P01042
FGG,P02679
AFP,P02771
F11,P03951
WWP2,O00308
BAG3,O95817
ALB,P02768
FER,P16591
LCK,P06239
CD69,Q07108
CCR7,P32248
CD38,P28907
KPNA5,O15131
KPNA6,O60684
DYNLL1,P63167
ATMIN,O43313
MAX,P61244
AP1M1,Q9BXS5
AP1G1,O43747
BCR,P11274
TIFA,Q96CG3
NEB,P20929
F3,P13726
LAMP1,P11279
CD19,P15391
MIP,P30301
TNF,P01375
TH,P07101
CD86,P42081
CD83,Q01151
F9,P00740
ASS1,P00966
MAVS,Q7Z434
CD2,P06729
RAC1,P63000
ADA,P00813
PML,P29590
IRF9,Q00978
VAMP5,O95183
GBP4,Q96PP9
IFIT3,O14879
IFI27,P40305
DIO2,Q92813
HSPA1A,P0DMV9
MAPK11,Q15759
NTRK1,P04629
FLT4,P35916
HSPA8,P11142
HSP90AB1,P08238
YWHAZ,P63104
ARFGAP1,Q8N6T3
ANXA5,P08758
C2,P06681
IQGAP1,P46940
SEC24C,P53992
RAB11A,P62491
MET,P08581
TYR,P14679
ATF4,P18848
MAP3K5,Q99683
IFI6,P09912
BTN3A3,O00478
IFITM3,Q01628
AKT3,Q9Y243
ODC1,P11926
FLT1,P17948
CCDC92,Q53HC0
PFKFB3,Q16875
GBP2,P32456
DCP1A,Q9NPI6
SET,Q01105
SMYD3,Q9H7B4
RUVBL2,Q9Y230
PIAS1,O75925
CTLA4,P16410
GDNF,P39905
HTT,P42858
ABCD1,P33897
IL2RG,P31785
MECP2,P51608
PABPN1,Q86U42
LIMK1,P53667
LRRK2,Q5S007
FLT3,P36888
ROCK2,O75116
VWF,P04275
NPC2,P61916
ZAP70,P43403
MAP3K7,O43318
TRAM1,Q15629
HSPA1B,P0DMV9
CXCL10,P02778
EHF,Q9NZC4
ATM,Q13315
TOP2A,P11388
CGAS,Q8N884
RIOK2,Q9BVS4
CTSB,P07858
CTSL,P07711
SPNS1,Q9H2V7
UVRAG,Q9P2Y5
PIKFYVE,Q9Y2I7
FIG4,Q92562
EXT1,Q16394
PIK3C3,Q8NEB9
TIMM10,P62072
MMS19,Q96T76
CIAO2B,Q9Y3D0
UGDH,O60701
TM9SF2,Q99805
PTAR1,Q7Z6K3
HSP90B1,P14625
UNC45A,Q9H3U1
ITGB1,P05556
ITGB5,P18084
ITGAV,P06756
CNOT10,Q9H9A5
TAF5L,O75529
TAF6L,Q9Y6J9
TADA2B,Q86TJ2
PABPC1,P11940
IMPACT,Q9P2X3
STRAP,Q9Y3F4
TNFAIP2,Q03169
CAPG,P40121
SMURF2,Q9HAU4
ITCH,Q96J02
WWP1,Q9H0M0
USP5,P45974
SOCS3,O14543
BRD3,Q15059
BRD4,O60885
AGRN,O00468
CKB,P12277
FUCA2,Q9BTY2
GALNT2,Q10471
HEXB,P07686
HPRT1,P00492
S100A8,P05109
TMEM132A,Q24JP5
TPP1,O14773
TUBA1B,P68363
WFIKKN2,Q8TEU8
PPIB,P23284
PROZ,P22891
S100B,P04271
GNPTAB,Q3T906
STAU1,O95793
HNRNPL,P14866
ILF2,Q12905
ILF3,Q12906
GALNT1,Q10472
MYC,P01106
ADAR,P55265
RBBP6,Q7Z6E9
HERC5,Q9UII4
HERC4,Q5GLZ8
NES,P48681
SUMO2,P61956
GCA,P28676
GCG,P01275
GAA,P10253
PDF,Q9HBH1
EIF3B,P55884
CD74,P04233
SLN,O00631
MLN,P12872
USP18,Q9UMW8
ISG20,Q96AZ6
EGF,P01133
EGFR,P00533
KIT,P10721
PIP,P12273
PTMS,P20962
ATP1A1,P05023
CDK4,P11802
CDK6,Q00534
HDAC1,Q13547
CD63,P08962
NPS,P0C0P6
ANKFY1,Q9P2R3
BECN1,Q14457
ATG7,O95352
AKT1,P31749
GSPT1,P15170
DSP,P15924
HNRNPUL1,Q9BUJ2
PEG10,Q86TG7
HAP1,P54257
APEX2,Q9UBZ4
PRCC,Q92733
METTL3,Q86U44
C5,P01031
CXCR5,P32302
CXCR3,P49682
CCR6,P51684
OSM,P13725
TANK,Q92844
MBP,P02686
TRIM25,Q14258
TRIM21,P19474
IFNAR1,P17181
MLKL,Q8NB16
SPHK1,Q9NYA1
SPHK2,Q9NRA0
XBP1,P17861
C3,P01024
CD81,P60033
IFITM1,P13164
HYAL2,Q12891
KEAP1,Q14145
CIITA,P33076
RAN,P62826
CCL5,P13501
CSF1,P09603
DDIT3,P35638
CDKN1A,P38936
GEM,P55040
LTB,Q06643
TMPRSS2,O15393
CCZ1,P86791
PLN,P26678
RBM4,Q9BWF3
VIP,P01282
SYK,P43405
CARD9,Q9H257
CANX,P27824
CALR,P27797
PDIA3,P30101
ATG3,Q9NT62
ATG5,Q9H1Y0
RNF185,Q96GF1
HSPA5,P11021
RNF26,Q9BY78
EDEM1,Q92611
EDEM2,Q9BV94
ABHD11,Q8NFV4
ACO2,Q99798
ACE,P12821
EIF2A,Q9BY44
DDX39B,Q13838
MICA,Q29983
HLA-A,P04439
BTK,Q06187
SRC,P12931
ACTB,P60709
TOP1,P11387
GP6,Q9HCN6
PAICS,P22234
CLC,Q05315
PTEN,P60484
INPP5E,Q9NRR6
IFIT1,P09914
