Source,Relation,Target
GP,bind,NPC1
GP,transport,NPC1
GP,attach,NPC1
VP24,activate,STAT1
VP24,inhibit,STAT1
VP24,induce,STAT1
VP24,phosphorylate,STAT1
VP24,express,STAT1
VP24,prevent,STAT1
VP24,signal,STAT1
GP,interact,NPC1
GP,neutralize,NPC1
VP35,inhibit,IRF3
VP35,suppress,IRF3
VP35,signal,IRF3
VP35,activate,TBK1
VP35,inhibit,TBK1
VP35,induce,TBK1
VP35,phosphorylate,TBK1
VP35,facilitate,TBK1
VP35,sequester,TBK1
VP24,translocate,STAT1
VP40,recognize,CD4
GP,interact,CD44
GP,involve,CD44
GP,express,TLR4
GP,signal,TLR4
GP,express,SOCS1
GP,signal,SOCS1
GP,interact,TLR4
GP,stimulate,TLR4
GP,induce,SOCS1
GP,enhance,TLR4
GP,stimulate,SOCS1
GP,enhance,SOCS1
GP,interact,GP2
GP,associate,TFPI
GP,regulate,TFPI
GP,target,TFPI
GP,associate,CFLAR
GP,regulate,CFLAR
GP,target,CFLAR
GP,associate,DAG1
GP,regulate,DAG1
GP,target,DAG1
VP24,induce,KPNA1
VP24,express,KPNA1
VP24,encode,KPNA1
VP24,impair,KPNA1
VP24,signal,KPNA1
GP,neutralize,PRNT
GP,target,PRNT
GP,bind,PRNT
GP,facilitate,PRNT
GP,impact,PRNT
GP,associate,ADNP
GP,activate,ADNP
GP,mediate,ADNP
GP,interact,FAS
GP,signal,FAS
GP,bind,TLR4
VP35,interact,TBK1
VP35,block,TBK1
GP,associate,CD68
GP,activate,CD68
GP,express,CD68
GP,affect,CD68
GP,disrupt,CD68
GP,impact,CD68
GP,involve,CD68
GP,bind,GP2
GP,mediate,GP2
GP,target,GP2
GP,interact,BST2
GP,associate,BST2
GP,activate,BST2
GP,induce,BST2
VP40,activate,BST2
VP40,signal,BST2
GP,inhibit,NPC1
GP,target,NPC1
GP,cleave,NPC1
GP,bind,STAT2
GP,interact,STAT2
GP,activate,STAT2
GP,inhibit,STAT2
GP,suppress,STAT2
GP,express,STAT2
GP,neutralize,STAT2
GP,target,STAT2
GP,link,FURIN
GP,link,GP2
GP,interact,GC
GP,block,NPC1
GP,neutralize,GC
GP,control,PRNT
GP,associate,CD4
GP,stimulate,CD4
GP,facilitate,NPC1
GP,cleave,FURIN
GP,transport,FURIN
GP,affect,NPC1
GP,express,FURIN
GP,control,FURIN
GP,inhibit,FURIN
GP,affect,FURIN
GP,replace,FURIN
NP,promote,SP6
L,associate,CD163
L,activate,CD163
GP,form,GP2
GP,associate,SI
GP,mediate,CD4
GP,inactivate,CD4
GP,neutralize,CD4
GP,encode,CD4
GP,control,CD4
GP,bind,SPR
GP,interact,SPR
GP,target,SPR
L,activate,CRP
L,involve,RPS3A
L,translate,RPS3A
GP,mediate,SIGLEC1
GP,involve,SIGLEC1
GP,mediate,HIP1R
GP,involve,HIP1R
GP,attach,GP2
GP,cleave,GP2
GP,associate,FURIN
GP,activate,GP2
GP,suppress,GP2
GP,neutralize,GP2
GP,bind,FURIN
GP,prevent,FURIN
VP35,express,TF
VP35,express,CD68
VP35,activate,CD68
VP35,ubiquitinate,IL6
VP35,ubiquitinate,ISG15
VP35,aggregate,ISG15
VP35,form,CD68
VP35,form,TF
GP,interact,TF
GP,express,TF
GP,target,TAT
GP,induce,CD4
NP,form,CDR2
NP,signal,CASP3
GP,trigger,GP2
GP,prevent,GP2
GP,enhance,NPC1
GP,prevent,NPC1
GP,disrupt,NPC1
GP,alter,NPC1
GP,impact,NPC1
GP,change,GP2
GP,sequester,GP2
L,inactivate,CD14
VP35,associate,AKIP1
VP35,activate,AKIP1
VP35,express,AKIP1
VP35,facilitate,AKIP1
VP35,signal,AKIP1
VP35,involve,AKIP1
VP35,interact,AKIP1
VP35,mediate,AKIP1
VP35,interact,PRKACA
VP35,associate,PRKACA
VP35,mediate,PRKACA
VP35,bind,AKIP1
VP35,enhance,AKIP1
VP35,control,AKIP1
VP35,bind,PRKACA
VP35,activate,PRKACA
VP35,enhance,PRKACA
VP35,control,PRKACA
VP35,express,PRKACA
VP35,translocate,PRKACA
VP35,translocate,AKIP1
VP35,phosphorylate,VASP
VP35,phosphorylate,CREB1
VP35,interact,ISG15
VP35,activate,ISG15
VP35,inhibit,ISG15
VP35,express,ISG15
VP35,affect,ISG15
VP35,inhibit,AKIP1
VP35,affect,AKIP1
VP35,promote,CREB1
VP35,phosphorylate,AKIP1
VP35,promote,AKIP1
VP35,activate,CREB1
VP35,suppress,CREB1
VP35,express,CREB1
VP35,suppress,PRKACA
VP35,phosphorylate,PRKACA
VP35,promote,PRKACA
VP35,induce,CREB1
NP,phosphorylate,CREB1
NP,facilitate,CREB1
NP,phosphorylate,PRKACA
NP,facilitate,PRKACA
NP,associate,CREB1
L,associate,AKIP1
L,inhibit,AKIP1
L,suppress,AKIP1
L,associate,CREB1
L,inhibit,CREB1
L,suppress,CREB1
L,interact,CREB1
L,activate,CREB1
L,involve,CREB1
VP35,modulate,CREB1
VP35,translocate,CREB1
VP35,express,SERPINB2
VP35,signal,SERPINB2
VP35,change,CREB1
VP35,regulate,CREB1
VP35,mediate,CREB1
VP35,interact,CREB1
VP35,regulate,AKIP1
L,promote,CREB1
VP35,aggregate,CREB1
VP35,involve,CREB1
VP35,activate,VASP
VP35,aggregate,VASP
VP35,involve,VASP
VP35,signal,CREB1
VP35,target,CREB1
VP35,suppress,AKIP1
VP35,inhibit,CREB1
VP35,bind,CREB1
VP35,express,G3BP1
VP30,express,AKIP1
GP,bind,EMILIN1
GP,inhibit,EMILIN1
GP,degrade,EMILIN1
VP40,bind,STAT1
VP40,activate,STAT1
VP40,inhibit,STAT1
VP40,induce,STAT1
VP40,signal,STAT1
VP40,associate,CTSG
VP40,associate,PRTN3
GP,express,MARCKS
VP40,express,MX1
GP,associate,IL2
GP,bind,CD4
GP,interact,CD4
GP,mediate,TLR4
VP35,block,IRF3
GP,activate,TLR4
GP,mediate,NPC1
GP,bind,HAVCR1
GP,encode,HAVCR1
GP,translate,FURIN
GP,translate,GP2
GP,change,JUN
GP,impact,JUN
GP,change,CIC
GP,impact,CIC
GP,activate,NPC1
NP,target,NPC1
VP40,interact,ABL1
VP40,link,ABL1
VP40,interact,NEDD4
VP40,ubiquitinate,NEDD4
VP40,facilitate,NEDD4
VP30,bind,DOK1
VP40,phosphorylate,ABL1
VP40,neutralize,KPNA1
GP,bind,ACE2
L,form,HR
GP,impair,CRP
NP,attach,HR
GP,form,FURIN
GP,impact,FURIN
GP,inhibit,BID
GP,control,BID
GP,associate,CD28
GP,activate,CD28
GP,induce,CD28
NP,utilize,TIMD4
NP,utilize,IRF1
NP,utilize,GBP5
NP,utilize,ARG1
VP30,express,ISG15
VP30,express,GBP5
VP24,block,STAT1
VP40,block,STAT1
VP40,inhibit,STAT2
VP40,block,STAT2
VP40,signal,STAT2
VP40,inhibit,STAT3
VP40,block,STAT3
VP40,signal,STAT3
VP40,inhibit,JAK1
VP40,block,JAK1
VP40,signal,JAK1
VP40,inhibit,TYK2
VP40,block,TYK2
VP40,signal,TYK2
VP40,activate,JAK1
VP40,express,GP2
GP,induce,NPC1
NP,recruit,NXF1
NP,express,NXF1
